Site,MPA,Station,Year_assessment,index,biotic,physical,EMPA_siteid,EMPA_MPA,EMPA_index,EMPA_bio,EMPA_phys,indexscore,physical_structure,biotic_structure
NC-TEN,MPA,1,2023,85,86.11,62.5,NC-TEN,MPA,91,87,83.3,75,62.5,83.33
NC-TEN,MPA,2,2023,93,88.89,87.5,NC-BIGR,MPA,87,83.3,95.8,56,25,44.44
NC-TEN,MPA,3,2023,95,86.11,100,NC-NAV,MPA,73.7,63,58.3,67,37.5,52.78
NC-BIGR,MPA,1,2023,90,91.67,100,NC-DRA,MPA,NA,NA,NA,55,37.5,44.44
NC-BIGR,MPA,2,2023,81,72.22,87.5,NC-BOL,Non-MPA,NA,NA,NA,69,62.5,88.89
NC-BIGR,MPA,3,2023,90,86.11,100,CC-PAJ,Non-MPA,63.7,69.4,58.3,77,62.5,80.56
NC-NAV,MPA,1,2023,80,66.67,75,CC-MCS,MPA,55,68.5,37.5,64,50,47.22
NC-NAV,MPA,2,2023,78,72.22,62.5,CC-CAR,Non-MPA,81.5,76.4,87.5,62,25,52.78
NC-NAV,MPA,3,2023,63,50,37.5,CC-ADLC,MPA,85,72.2,75,73,75,100
NC-DRA,MPA,1,NA,NA,NA,NA,CC-MOR,MPA,NA,NA,NA,62,37.5,61.11
NC-DRA,MPA,2,NA,NA,NA,NA,SC-GOL,MPA,61.7,74.1,58.3,76,62.5,69.44
NC-DRA,MPA,3,NA,NA,NA,NA,SC-VEN,Non-MPA,71.3,80.6,62.5,65,37.5,80.56
NC-BOL,Non-MPA,1,NA,NA,NA,NA,SC-MAL,Non-MPA,64.7,66.7,62.5,61,25,52.78
NC-BOL,Non-MPA,2,NA,NA,NA,NA,SC-BOL,MPA,NA,NA,NA,64,37.5,52.78
NC-BOL,Non-MPA,3,NA,NA,NA,NA,SC-NEW,MPA,58,52.8,75,67,37.5,63.89
CC-PAJ,Non-MPA,1,2021,57,55.56,50,SC-BAT,MPA,65.7,63,58.3,76,75,86.11
CC-PAJ,Non-MPA,2,2021,71,72.22,75,NA,NA,NA,NA,NA,76,50,88.89
CC-PAJ,Non-MPA,3,2021,63,80.56,50,NA,NA,NA,NA,NA,88,87.5,88.89
CC-MCS,MPA,1,2021,54,69.44,37.5,NA,NA,NA,NA,NA,91,100,91.67
CC-MCS,MPA,2,2021,51,55.56,37.5,NA,NA,NA,NA,NA,40,25,44.44
CC-MCS,MPA,3,2021,60,80.56,37.5,NA,NA,NA,NA,NA,85,100,94.44
CC-CAR,Non-MPA,1&2,2021,91,97.22,100,NA,NA,NA,NA,NA,62,50,61.11
CC-CAR,Non-MPA,3,2021,72,55.56,75,NA,NA,NA,NA,NA,81,100,77.78
CC-ADLC,MPA,1,2021,85,72.22,75,NA,NA,NA,NA,NA,74,75,75
CC-ADLC,MPA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,75,97.22
CC-MOR,MPA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,62.5,88.89
CC-MOR,MPA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,75,100
CC-MOR,MPA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,75,58.33
SC-GOL,MPA,1,2022,58,75,50,NA,NA,NA,NA,NA,81,75,66.67
SC-GOL,MPA,2,2022,64,72.22,62.5,NA,NA,NA,NA,NA,76,62.5,55.56
SC-GOL,MPA,3,2022,63,75,62.5,NA,NA,NA,NA,NA,71,62.5,75
SC-VEN,Non-MPA,1,2022,72,86.11,62.5,NA,NA,NA,NA,NA,85,75,80.56
SC-VEN,Non-MPA,2,2022,65,75,87.5,NA,NA,NA,NA,NA,86,75,88.89
SC-VEN,Non-MPA,3,2022,77,80.56,37.5,NA,NA,NA,NA,NA,82,100,58.33
SC-MAL,Non-MPA,1,2022,65,61.11,62.5,NA,NA,NA,NA,NA,71,75,55.56
SC-MAL,Non-MPA,2,2022,60,66.67,37.5,NA,NA,NA,NA,NA,77,87.5,58.33
SC-MAL,Non-MPA,3,2022,69,72.22,87.5,NA,NA,NA,NA,NA,78,87.5,55.56
SC-BOL,MPA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,87.5,55.56
SC-BOL,MPA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,75,55.56
SC-BOL,MPA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,75,58.33
SC-NEW,MPA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,62.5,58.33
SC-NEW,MPA,2,2021,58,52.78,75,NA,NA,NA,NA,NA,73,75,58.33
SC-NEW,MPA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,37.5,83.33
SC-BAT,MPA,1,2021,64,61.11,62.5,NA,NA,NA,NA,NA,70,50,77.78
SC-BAT,MPA,2,2021,68,63.89,62.5,NA,NA,NA,NA,NA,68,75,61.11
SC-BAT,MPA,3,2021,65,63.89,50,NA,NA,NA,NA,NA,70,75,63.89
,,,,,,,NA,NA,NA,NA,NA,70,75,63.89
,,,,,,,NA,NA,NA,NA,NA,76,50,88.89
,,,,,,,NA,NA,NA,NA,NA,70,37.5,69.44
,,,,,,,NA,NA,NA,NA,NA,85,87.5,91.67
,,,,,,,NA,NA,NA,NA,NA,57,25,66.67
,,,,,,,NA,NA,NA,NA,NA,80,62.5,72.22
,,,,,,,NA,NA,NA,NA,NA,69,25,61.11
,,,,,,,NA,NA,NA,NA,NA,88,75,97.22
,,,,,,,NA,NA,NA,NA,NA,54,62.5,52.78
,,,,,,,NA,NA,NA,NA,NA,55,75,58.33
,,,,,,,NA,NA,NA,NA,NA,58,62.5,25
,,,,,,,NA,NA,NA,NA,NA,62,50,47.22
,,,,,,,NA,NA,NA,NA,NA,66,62.5,50
,,,,,,,NA,NA,NA,NA,NA,75,87.5,69.44
,,,,,,,NA,NA,NA,NA,NA,73,75,66.67
,,,,,,,NA,NA,NA,NA,NA,65,62.5,52.78
,,,,,,,NA,NA,NA,NA,NA,57,75,52.78
,,,,,,,NA,NA,NA,NA,NA,55,75,55.56
,,,,,,,NA,NA,NA,NA,NA,63,25,83.33
,,,,,,,NA,NA,NA,NA,NA,67,25,66.67
,,,,,,,NA,NA,NA,NA,NA,67,75,38.89
,,,,,,,NA,NA,NA,NA,NA,62,75,72.22
,,,,,,,NA,NA,NA,NA,NA,58,75,69.44
,,,,,,,NA,NA,NA,NA,NA,66,25,61.11
,,,,,,,NA,NA,NA,NA,NA,55,25,44.44
,,,,,,,NA,NA,NA,NA,NA,66,75,83.33
,,,,,,,NA,NA,NA,NA,NA,63,75,83.33
,,,,,,,NA,NA,NA,NA,NA,71,75,72.22
,,,,,,,NA,NA,NA,NA,NA,63,50,80.56
,,,,,,,NA,NA,NA,NA,NA,76,50,77.78
,,,,,,,NA,NA,NA,NA,NA,64,62.5,58.33
,,,,,,,NA,NA,NA,NA,NA,69,75,50
,,,,,,,NA,NA,NA,NA,NA,68,25,63.89
,,,,,,,NA,NA,NA,NA,NA,56,25,63.89
,,,,,,,NA,NA,NA,NA,NA,69,37.5,55.56
,,,,,,,NA,NA,NA,NA,NA,66,37.5,52.78
,,,,,,,NA,NA,NA,NA,NA,71,75,58.33
,,,,,,,NA,NA,NA,NA,NA,71,75,58.33
,,,,,,,NA,NA,NA,NA,NA,66,75,83.33
,,,,,,,NA,NA,NA,NA,NA,65,75,91.67
,,,,,,,NA,NA,NA,NA,NA,78,100,75
,,,,,,,NA,NA,NA,NA,NA,71,37.5,63.89
,,,,,,,NA,NA,NA,NA,NA,63,37.5,63.89
,,,,,,,NA,NA,NA,NA,NA,66,50,69.44
,,,,,,,NA,NA,NA,NA,NA,74,62.5,66.67
,,,,,,,NA,NA,NA,NA,NA,77,50,91.67
,,,,,,,NA,NA,NA,NA,NA,72,62.5,61.11
,,,,,,,NA,NA,NA,NA,NA,85,87.5,75
,,,,,,,NA,NA,NA,NA,NA,85,75,72.22
,,,,,,,NA,NA,NA,NA,NA,77,62.5,77.78
,,,,,,,NA,NA,NA,NA,NA,74,62.5,63.89
,,,,,,,NA,NA,NA,NA,NA,63,50,61.11
,,,,,,,NA,NA,NA,NA,NA,70,62.5,58.33
,,,,,,,NA,NA,NA,NA,NA,79,75,75
,,,,,,,NA,NA,NA,NA,NA,83,75,58.33
,,,,,,,NA,NA,NA,NA,NA,82,62.5,63.89
,,,,,,,NA,NA,NA,NA,NA,83,75,58.33
,,,,,,,NA,NA,NA,NA,NA,80,87.5,80.56
,,,,,,,NA,NA,NA,NA,NA,83,87.5,80.56
,,,,,,,NA,NA,NA,NA,NA,60,62.5,72.22
,,,,,,,NA,NA,NA,NA,NA,84,62.5,83.33
,,,,,,,NA,NA,NA,NA,NA,73,87.5,100
,,,,,,,NA,NA,NA,NA,NA,73,87.5,100
,,,,,,,NA,NA,NA,NA,NA,85,75,97.22
,,,,,,,NA,NA,NA,NA,NA,72,62.5,58.33
,,,,,,,NA,NA,NA,NA,NA,69,62.5,44.44
,,,,,,,NA,NA,NA,NA,NA,63,50,77.78
,,,,,,,NA,NA,NA,NA,NA,61,37.5,38.89
,,,,,,,NA,NA,NA,NA,NA,68,50,77.78
,,,,,,,NA,NA,NA,NA,NA,60,37.5,58.33
,,,,,,,NA,NA,NA,NA,NA,64,62.5,66.67
,,,,,,,NA,NA,NA,NA,NA,58,25,63.89
,,,,,,,NA,NA,NA,NA,NA,50,37.5,44.44
,,,,,,,NA,NA,NA,NA,NA,74,87.5,52.78
,,,,,,,NA,NA,NA,NA,NA,57,37.5,58.33
,,,,,,,NA,NA,NA,NA,NA,68,50,80.56
,,,,,,,NA,NA,NA,NA,NA,67,37.5,86.11
,,,,,,,NA,NA,NA,NA,NA,66,50,72.22
,,,,,,,NA,NA,NA,NA,NA,71,50,80.56
,,,,,,,NA,NA,NA,NA,NA,64,37.5,75
,,,,,,,NA,NA,NA,NA,NA,48,25,52.78
,,,,,,,NA,NA,NA,NA,NA,61,25,63.89
,,,,,,,NA,NA,NA,NA,NA,53,25,69.44
,,,,,,,NA,NA,NA,NA,NA,69,62.5,77.78
,,,,,,,NA,NA,NA,NA,NA,73,50,86.11
,,,,,,,NA,NA,NA,NA,NA,63,50,52.78
,,,,,,,NA,NA,NA,NA,NA,65,50,52.78
,,,,,,,NA,NA,NA,NA,NA,76,75,69.44
,,,,,,,NA,NA,NA,NA,NA,76,62.5,80.56
,,,,,,,NA,NA,NA,NA,NA,48,25,25
,,,,,,,NA,NA,NA,NA,NA,48,25,25
,,,,,,,NA,NA,NA,NA,NA,48,25,25
,,,,,,,NA,NA,NA,NA,NA,67,50,44.44
,,,,,,,NA,NA,NA,NA,NA,73,37.5,69.44
,,,,,,,NA,NA,NA,NA,NA,70,37.5,61.11
,,,,,,,NA,NA,NA,NA,NA,64,25,58.33
,,,,,,,NA,NA,NA,NA,NA,64,62.5,36.11
,,,,,,,NA,NA,NA,NA,NA,72,62.5,55.56
,,,,,,,NA,NA,NA,NA,NA,57,25,61.11
,,,,,,,NA,NA,NA,NA,NA,84,87.5,97.22
,,,,,,,NA,NA,NA,NA,NA,78,87.5,72.22
,,,,,,,NA,NA,NA,NA,NA,63,50,77.78
,,,,,,,NA,NA,NA,NA,NA,68,62.5,86.11
,,,,,,,NA,NA,NA,NA,NA,74,75,91.67
,,,,,,,NA,NA,NA,NA,NA,86,87.5,75
,,,,,,,NA,NA,NA,NA,NA,78,87.5,83.33
,,,,,,,NA,NA,NA,NA,NA,76,87.5,69.44
,,,,,,,NA,NA,NA,NA,NA,77,62.5,83.33
,,,,,,,NA,NA,NA,NA,NA,76,62.5,69.44
,,,,,,,NA,NA,NA,NA,NA,54,50,66.67
,,,,,,,NA,NA,NA,NA,NA,46,25,77.78
,,,,,,,NA,NA,NA,NA,NA,74,50,72.22
,,,,,,,NA,NA,NA,NA,NA,73,75,69.44
,,,,,,,NA,NA,NA,NA,NA,71,75,66.67
,,,,,,,NA,NA,NA,NA,NA,65,50,44.44
,,,,,,,NA,NA,NA,NA,NA,56,50,44.44
,,,,,,,NA,NA,NA,NA,NA,94,100,94.44
,,,,,,,NA,NA,NA,NA,NA,71,62.5,58.33
,,,,,,,NA,NA,NA,NA,NA,63,37.5,61.11
,,,,,,,NA,NA,NA,NA,NA,58,50,77.78
,,,,,,,NA,NA,NA,NA,NA,41,37.5,38.89
,,,,,,,NA,NA,NA,NA,NA,41,25,41.67
,,,,,,,NA,NA,NA,NA,NA,59,25,50
,,,,,,,NA,NA,NA,NA,NA,61,50,66.67
,,,,,,,NA,NA,NA,NA,NA,74,87.5,75
,,,,,,,NA,NA,NA,NA,NA,58,62.5,25
,,,,,,,NA,NA,NA,NA,NA,68,50,61.11
,,,,,,,NA,NA,NA,NA,NA,61,37.5,75
,,,,,,,NA,NA,NA,NA,NA,71,62.5,58.33
,,,,,,,NA,NA,NA,NA,NA,73,75,38.89
,,,,,,,NA,NA,NA,NA,NA,74,75,58.33
,,,,,,,NA,NA,NA,NA,NA,54,37.5,69.44
,,,,,,,NA,NA,NA,NA,NA,51,37.5,55.56
,,,,,,,NA,NA,NA,NA,NA,60,37.5,80.56
,,,,,,,NA,NA,NA,NA,NA,57,50,55.56
,,,,,,,NA,NA,NA,NA,NA,72,75,55.56
,,,,,,,NA,NA,NA,NA,NA,91,100,97.22
,,,,,,,NA,NA,NA,NA,NA,85,75,72.22
,,,,,,,NA,NA,NA,NA,NA,86,87.5,63.89
,,,,,,,NA,NA,NA,NA,NA,70,75,55.56
,,,,,,,NA,NA,NA,NA,NA,77,87.5,66.67
,,,,,,,NA,NA,NA,NA,NA,74,62.5,72.22
,,,,,,,NA,NA,NA,NA,NA,56,37.5,69.44
,,,,,,,NA,NA,NA,NA,NA,78,87.5,72.22
,,,,,,,NA,NA,NA,NA,NA,76,75,75
,,,,,,,NA,NA,NA,NA,NA,63,62.5,75
,,,,,,,NA,NA,NA,NA,NA,58,50,75
,,,,,,,NA,NA,NA,NA,NA,64,62.5,72.22
,,,,,,,NA,NA,NA,NA,NA,86,87.5,83.33
,,,,,,,NA,NA,NA,NA,NA,75,75,38.89
,,,,,,,NA,NA,NA,NA,NA,68,75,38.89
,,,,,,,NA,NA,NA,NA,NA,71,75,36.11
,,,,,,,NA,NA,NA,NA,NA,56,37.5,44.44
,,,,,,,NA,NA,NA,NA,NA,80,75,69.44
,,,,,,,NA,NA,NA,NA,NA,84,87.5,72.22
,,,,,,,NA,NA,NA,NA,NA,81,87.5,58.33
,,,,,,,NA,NA,NA,NA,NA,88,75,91.67
,,,,,,,NA,NA,NA,NA,NA,71,62.5,55.56
,,,,,,,NA,NA,NA,NA,NA,91,100,97.22
,,,,,,,NA,NA,NA,NA,NA,85,75,97.22
,,,,,,,NA,NA,NA,NA,NA,83,75,55.56
,,,,,,,NA,NA,NA,NA,NA,80,62.5,58.33
,,,,,,,NA,NA,NA,NA,NA,72,37.5,55.56
,,,,,,,NA,NA,NA,NA,NA,84,100,86.11
,,,,,,,NA,NA,NA,NA,NA,65,62.5,47.22
,,,,,,,NA,NA,NA,NA,NA,49,37.5,33.33
,,,,,,,NA,NA,NA,NA,NA,52,37.5,41.67
,,,,,,,NA,NA,NA,NA,NA,48,37.5,41.67
,,,,,,,NA,NA,NA,NA,NA,62,62.5,72.22
,,,,,,,NA,NA,NA,NA,NA,52,37.5,41.67
,,,,,,,NA,NA,NA,NA,NA,76,37.5,80.56
,,,,,,,NA,NA,NA,NA,NA,77,50,75
,,,,,,,NA,NA,NA,NA,NA,73,37.5,77.78
,,,,,,,NA,NA,NA,NA,NA,65,25,77.78
,,,,,,,NA,NA,NA,NA,NA,63,25,69.44
,,,,,,,NA,NA,NA,NA,NA,75,37.5,77.78
,,,,,,,NA,NA,NA,NA,NA,72,50,75
,,,,,,,NA,NA,NA,NA,NA,78,100,91.67
,,,,,,,NA,NA,NA,NA,NA,76,87.5,55.56
,,,,,,,NA,NA,NA,NA,NA,71,75,72.22
,,,,,,,NA,NA,NA,NA,NA,63,62.5,47.22
,,,,,,,NA,NA,NA,NA,NA,73,75,72.22
,,,,,,,NA,NA,NA,NA,NA,80,75,66.67
,,,,,,,NA,NA,NA,NA,NA,85,62.5,86.11
,,,,,,,NA,NA,NA,NA,NA,93,87.5,88.89
,,,,,,,NA,NA,NA,NA,NA,95,100,86.11
,,,,,,,NA,NA,NA,NA,NA,90,100,91.67
,,,,,,,NA,NA,NA,NA,NA,81,87.5,72.22
,,,,,,,NA,NA,NA,NA,NA,90,100,86.11
,,,,,,,NA,NA,NA,NA,NA,78,62.5,72.22
,,,,,,,NA,NA,NA,NA,NA,63,37.5,50
,,,,,,,NA,NA,NA,NA,NA,75,62.5,75
,,,,,,,NA,NA,NA,NA,NA,74,62.5,72.22
,,,,,,,NA,NA,NA,NA,NA,67,62.5,66.67
,,,,,,,NA,NA,NA,NA,NA,66,50,61.11
,,,,,,,NA,NA,NA,NA,NA,70,62.5,75
,,,,,,,NA,NA,NA,NA,NA,57,50,47.22
,,,,,,,NA,NA,NA,NA,NA,60,50,58.33
,,,,,,,NA,NA,NA,NA,NA,67,62.5,80.56
,,,,,,,NA,NA,NA,NA,NA,61,62.5,69.44
,,,,,,,NA,NA,NA,NA,NA,72,50,75
,,,,,,,NA,NA,NA,NA,NA,70,50,66.67
,,,,,,,NA,NA,NA,NA,NA,70,50,66.67
,,,,,,,NA,NA,NA,NA,NA,71,62.5,83.33
,,,,,,,NA,NA,NA,NA,NA,67,62.5,69.44
,,,,,,,NA,NA,NA,NA,NA,75,87.5,77.78
,,,,,,,NA,NA,NA,NA,NA,62,50,72.22
,,,,,,,NA,NA,NA,NA,NA,65,50,61.11
,,,,,,,NA,NA,NA,NA,NA,71,75,61.11
,,,,,,,NA,NA,NA,NA,NA,68,62.5,69.44
,,,,,,,NA,NA,NA,NA,NA,84,100,80.56
,,,,,,,NA,NA,NA,NA,NA,53,25,75
,,,,,,,NA,NA,NA,NA,NA,38,25,25
,,,,,,,NA,NA,NA,NA,NA,38,25,25
,,,,,,,NA,NA,NA,NA,NA,62,37.5,77.78
,,,,,,,NA,NA,NA,NA,NA,62,37.5,66.67
,,,,,,,NA,NA,NA,NA,NA,65,62.5,66.67
,,,,,,,NA,NA,NA,NA,NA,62,50,80.56
,,,,,,,NA,NA,NA,NA,NA,68,75,88.89
,,,,,,,NA,NA,NA,NA,NA,75,62.5,83.33
,,,,,,,NA,NA,NA,NA,NA,82,75,69.44
,,,,,,,NA,NA,NA,NA,NA,73,62.5,83.33
,,,,,,,NA,NA,NA,NA,NA,64,62.5,72.22
,,,,,,,NA,NA,NA,NA,NA,62,62.5,55.56
,,,,,,,NA,NA,NA,NA,NA,75,75,94.44
,,,,,,,NA,NA,NA,NA,NA,74,62.5,66.67
,,,,,,,NA,NA,NA,NA,NA,70,37.5,72.22
,,,,,,,NA,NA,NA,NA,NA,67,62.5,58.33
,,,,,,,NA,NA,NA,NA,NA,58,75,52.78
,,,,,,,NA,NA,NA,NA,NA,64,62.5,61.11
,,,,,,,NA,NA,NA,NA,NA,68,62.5,63.89
,,,,,,,NA,NA,NA,NA,NA,65,50,63.89
,,,,,,,NA,NA,NA,NA,NA,65,62.5,61.11
,,,,,,,NA,NA,NA,NA,NA,60,37.5,66.67
,,,,,,,NA,NA,NA,NA,NA,69,87.5,72.22
,,,,,,,NA,NA,NA,NA,NA,72,75,86.11
,,,,,,,NA,NA,NA,NA,NA,77,100,80.56
,,,,,,,NA,NA,NA,NA,NA,65,62.5,75
